Symbol,Score
MOVALUE,15
OLECTRA,15
BHARTIARTL,15
SENSEXBETA,15
POWERMECH,15
AETHER,15
SPLPETRO,15
CHOICEIN,15
GAEL,15
SHAILY,15
NLCINDIA,15
MIDCAPETF,15
SILVERBEES,15
SILVER,15
SILVERIETF,15
TATACONSUM,15
TATAPOWER,15
SURYAROSNI,15
BECTORFOOD,15
IDBI,15
HINDZINC,15
HCC,15
GARFIBRES,15
UFLEX,15
EIHOTEL,15
EICHERMOT,15
DRREDDY,15
CHOLAFIN,15
IGARASHI,15
MAZDOCK,15
BLUEDART,15
BHEL,15
BEML,15
BEL,15
NAM-INDIA,15
BANARISUG,15
BALKRISIND,15
ANGELONE,15
TIINDIA,15
ASHAPURMIN,15
TCPLPACK,15
GODREJAGRO,15
INDIACEM,15
SUNDROP,15
SUPREMEIND,15
TRENT,15
SUNDRMFAST,15
SPMLINFRA,15
LODHA,15
SKFINDIA,15
GILT5YBEES,15
NAZARA,15
RELIANCE,15
PFIZER,15
LEMONTREE,15
PGHH,15
RAILTEL,15
NAVNETEDUL,15
JAYNECOIND,15
CPSEETF,15
MTNL,15
MRPL,15
BANDHANBNK,15
BOSCHLTD,15
VTL,15
CHENNPETRO,15
RAMCOCEM,15
IRFC,15
LMW,15
UPL,15
MUKANDLTD,15
MAHABANK,15
IREDA,15
CANTABIL,15
ASKAUTOLTD,15
EGOLD,15
HONASA,15
GOLDIETF,15
HDFCGOLD,15
BAJAJCON,15
ROSSARI,15
LAURUSLABS,15
MANAPPURAM,15
KINGFA,15
VBL,15
SIGNATURE,15
NUVAMA,15
POWERINDIA,15
JIOFIN,15
DBREALTY,15
JUBLFOOD,15
CONCORDBIO,15
ADVENZYMES,15
HINDCOPPER,15
GODREJPROP,15
NIITMTS,15
ASHOKA,15
PRESTIGE,15
XPROINDIA,15
NACLIND,15
TRITURBINE,15
NORTHARC,15
TDPOWERSYS,15
STYLEBAAZA,15
ECOSMOBLTY,15
BSLNIFTY,15
SBISILVER,15
VADILALIND,15
MUTHOOTFIN,15
JNKINDIA,15
BHARTIHEXA,15
MOREALTY,15
DIAMONDYD,15
SBILIFE,15
ABCAPITAL,15
TATSILV,15
TATAGOLD,15
CDSL,15
STARCEMENT,15
HUDCO,15
MOTISONS,15
DOMS,15
AXISGOLD,15
LTGILTBEES,15
MGL,15
OIL,15
PVRINOX,15
NSLNISP,15
IZMO,15
UNOMINDA,15
SAGCEM,15
ABSLBANETF,15
LTFOODS,15
TORNTPOWER,15
BBL,15
FIEMIND,15
ANANTRAJ,15
ALLCARGO,15
AIAENG,15
NETWEB,15
SILVER1,15
KAYNES,15
MANINDS,15
PRIMESECU,15
WELCORP,15
IIFL,15
ALLDIGI,15
GOKEX,15
PATELENG,15
NTPC,15
RKFORGE,15
GOLDETF,15
PFC,15
INDIANB,15
GANESHHOU,15
NHPC,15
SETFGOLD,15
NEXT50,15
SILVERAG,15
UBL,15
EBBETF0430,15
MANKIND,15
GOLDADD,15
RECLTD,15
BIRLAMONEY,15
BGRENERGY,15
RGL,15
RELIGARE,15
POWERGRID,15
KSCL,15
GOLD1,15
