Symbol,Score
BLS,25
SENCO,25
DREAMFOLKS,25
SHRIPISTON,25
WELENT,25
SUPRAJIT,25
ALKEM,25
JSWSTEEL,25
UNIPARTS,25
IIFLCAPS,25
PGIL,25
TVSSRICHAK,25
EKC,25
PITTIENG,25
NETWORK18,25
JAGRAN,25
KEC,25
SOLARINDS,25
TANLA,25
BANCOINDIA,25
JINDRILL,25
AARTIPHARM,25
KKCL,25
SOBHA,25
GREENPANEL,25
MANALIPETC,25
TORNTPOWER,25
RSYSTEMS,25
NAUKRI,25
EMAMILTD,25
TALBROAUTO,25
ELECON,25
TECHM,25
SKYGOLD,25
ANANTRAJ,25
DHARMAJ,25
PRECAM,25
FINIETF,25
TIMETECHNO,25
DELTACORP,25
CERA,25
EVEREADY,25
POWERGRID,25
ALLDIGI,25
SSWL,25
NH,25
JSWHL,25
FUSION,25
GOLDIAM,25
SASKEN,25
ICIL,25
GOACARBON,25
HSCL,25
INSECTICID,25
WEBELSOLAR,25
PHOENIXLTD,25
SUZLON,25
BALAMINES,25
GOKULAGRO,25
DOLATALGO,25
LAOPALA,25
HNDFDS,25
PAGEIND,25
APOLLOPIPE,25
INOXGREEN,25
TAJGVK,25
PAKKA,25
CAMLINFINE,25
INTENTECH,25
AJANTPHARM,25
BSE,25
ABSLAMC,25
RPSGVENT,25
KSL,25
LTTS,25
JWL,25
VRLLOG,25
INDOBORAX,25
AVANTIFEED,25
VPRPL,25
NATIONALUM,25
PERSISTENT,25
LGHL,25
GNA,25
ESAFSFB,25
KALAMANDIR,25
DMART,25
AWL,25
GMRP&UI,25
DALBHARAT,25
MOLDTKPAC,25
RATNAVEER,25
BAJAJHCARE,25
MIDCAP,25
MONQ50,25
NILASPACES,25
SAMHI,25
MANINFRA,25
IRMENERGY,25
KECL,25
KIRLOSBROS,25
NACLIND,25
METROBRAND,25
SHREERAMA,25
VERANDA,25
COALINDIA,25
USHAMART,25
VASCONEQ,25
KIOCL,25
PARAS,25
SUPRIYA,25
DBL,25
RESPONIND,25
KIRLOSIND,25
IMFA,25
ZENTEC,25
GAEL,25
TATATECH,25
PNBGILTS,25
PRESTIGE,25
GANDHAR,25
DOLPHIN,25
HCLTECH,25
MANYAVAR,25
SHANKARA,25
FEDFINA,25
SHRIRAMPPS,25
SPARC,22
AURIONPRO,22
HDFCGOLD,22
DLF,22
DIXON,22
V2RETAIL,22
E2E,22
GLENMARK,22
